radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,260,43777,103741955,-1,-86.8201,36.3069,1403,38,1,1700309143,1764349922,0
LTE,310,260,43777,103741965,-1,-86.8261,36.311,1446,24,1,1700309223,1765159322,0
LTE,310,260,43906,98460673,-1,-86.7652,36.1295,1554,17,1,1700310503,1753355402,0
LTE,310,260,43906,98460685,-1,-86.7555,36.1137,1149,14,1,1700310873,1753355402,0
LTE,310,260,32770,41444414,-1,-88.6894,35.469,1000,10,1,1701796013,1749353231,0
LTE,310,260,32770,41444129,-1,-88.6901,35.4699,1482,34,1,1701797783,1749353231,0
NR,310,260,11008768,4322979843,-1,-86.546,36.677,1273,3,1,1701897226,1769129588,0
LTE,310,260,32770,41444097,-1,-88.661,35.4475,1000,21,1,1704118081,1749353230,0
LTE,310,260,32770,110018051,-1,-88.58,35.1611,1522,21,1,1704119321,1749353227,0
NR,310,260,11271424,4417896450,-1,-86.8929,35.5017,4853,21,1,1704180941,1773988393,0
LTE,310,260,43906,31107852,-1,-86.9,35.6087,7954,36,1,1704180964,1773965943,0
LTE,310,260,44029,9163532,-1,-86.891,35.6666,3675,28,1,1704181172,1773965943,0
LTE,310,260,43906,31107851,-1,-86.8946,35.6383,1140,20,1,1704181451,1773965943,0
LTE,310,260,43906,31381507,-1,-86.768,36.0768,4401,12,1,1704183175,1767478143,0
LTE,310,260,43777,7287563,0,-87.4951,36.8653,1000,3,1,1704466921,1774197001,0
LTE,310,260,43906,9280003,0,-86.7216,36.2502,1000,13,1,1705669351,1766176141,0
LTE,310,260,43906,25680643,0,-86.7161,36.2638,1000,20,1,1705669553,1768402682,0
LTE,310,260,32770,110017342,-1,-88.6847,35.7009,5539,8,1,1707736004,1746462961,0
LTE,310,260,32770,110017292,-1,-88.6758,35.7043,1000,9,1,1707736024,1788291439,0
LTE,310,260,44029,7314177,-1,-87.5396,35.9661,1670,38,1,1707739697,1788291443,0
LTE,310,260,44029,29513985,-1,-87.4754,35.9942,7132,12,1,1707739937,1746832922,0
LTE,310,260,43906,98459394,-1,-87.4262,36.0024,5665,19,1,1707739997,1746832382,0
LTE,310,260,43906,98459404,-1,-87.4313,35.9954,19690,25,1,1707740047,1753239001,0
LTE,310,260,44029,7305986,-1,-87.1947,36.0279,8534,22,1,1707740737,1770611701,0
LTE,310,260,43906,25940749,-1,-87.1048,36.0818,900,33,1,1707741187,1788291482,0
LTE,310,260,43906,25940747,-1,-87.0884,36.0851,1393,29,1,1707741237,1788291482,0
LTE,310,260,43906,31066891,-1,-87.0235,36.088,2680,21,1,1707741559,1781813463,0
LTE,310,260,43906,9966091,-1,-86.7993,36.1721,1125,12,1,1707742390,1788291483,0
LTE,310,260,43906,98555405,-1,-86.6074,36.1681,2105,8,1,1707743183,1770609481,0
LTE,310,260,43906,98555403,-1,-86.5985,36.1701,1287,8,1,1707743213,1781811481,0
LTE,310,260,43906,104644107,-1,-86.505,36.1725,6517,19,1,1707743495,1770609241,0
LTE,310,260,43907,29500941,-1,-86.3566,36.1839,7394,19,1,1707743892,1746827881,0
LTE,310,260,43907,29500940,-1,-86.3225,36.1837,9734,25,1,1707744003,1788291485,0
LTE,310,260,44027,104240385,-1,-86.2655,36.1812,3732,22,1,1707806586,1753242901,0
LTE,310,260,44027,104240396,-1,-86.273,36.1824,7842,22,1,1707806724,1788291486,0
LTE,310,260,43907,104651778,-1,-85.551,36.0703,6328,2,1,1707819757,1783744192,0
LTE,310,260,43907,103835661,-1,-85.4876,36.1321,21053,33,1,1707821198,1788291489,0
LTE,310,260,43907,103835659,-1,-85.4386,36.1397,19997,29,1,1707821358,1788291489,0
LTE,310,260,43907,104403469,-1,-85.4261,36.1407,19790,8,1,1707821558,1788291489,0
LTE,310,260,43907,104403468,-1,-85.3904,36.1416,24325,29,1,1707821598,1788291489,0
LTE,310,260,44284,8574467,-1,-85.2425,36.1097,2439,50,1,1707822018,1743552601,0
